{:time=>167.6875, :rest=>0.380830643713683, :count=>11, :score=>148.852459016393, :rail=>0.684805746085944, :hidden=>24, :weight=>0.325770064348534}
{:time=>355.890625, :rest=>0.713829752293049, :count=>95, :score=>148.196721311475, :rail=>0.382768390391507, :hidden=>4, :weight=>0.322644412249569}
{:time=>1713.328125, :rest=>0.793277308472085, :count=>99, :score=>37.3770491803279, :rail=>0.781891716001148, :hidden=>22, :weight=>0.156529717800233}
{:time=>2072.140625, :rest=>0.540941510681088, :count=>82, :score=>91.8032786885246, :rail=>0.141845378400393, :hidden=>37, :weight=>0.0639936888730049}
{:time=>292.046875, :rest=>0.675828499995655, :count=>66, :score=>138.360655737705, :rail=>0.27926594487922, :hidden=>6, :weight=>0.230175098744963}
{:time=>2485.296875, :rest=>0.0349772865112186, :count=>77, :score=>161.967213114754, :rail=>0.100985876076382, :hidden=>43, :weight=>0.10206345331931}
{:time=>141.796875, :rest=>0.270693964723767, :count=>6, :score=>71.6939890710383, :rail=>0.789503223082299, :hidden=>35, :weight=>0.401824692522513}
{:time=>2642.34375, :rest=>0.135441638931141, :count=>69, :score=>107.75956284153, :rail=>0.730686073755775, :hidden=>48, :weight=>0.106722196182815}
{:time=>2783.828125, :rest=>0.292820954208268, :count=>57, :score=>141.420765027322, :rail=>0.237470432102024, :hidden=>71, :weight=>0.109026602982502}
{:time=>623.484375, :rest=>0.26322277158928, :count=>48, :score=>139.890710382514, :rail=>0.790370233228572, :hidden=>19, :weight=>0.232999524386592}
{:time=>157.703125, :rest=>0.103967225257753, :count=>22, :score=>159.344262295082, :rail=>0.362194813675647, :hidden=>10, :weight=>0.248234098397534}
{:time=>3443.09375, :rest=>0.430890126759049, :count=>48, :score=>-200.0, :rail=>0.234543927219772, :hidden=>89, :weight=>0.327037928598563}
{:time=>579.859375, :rest=>0.50731333860608, :count=>24, :score=>43.0601092896175, :rail=>0.57550951186614, :hidden=>37, :weight=>0.011568681726476}
{:time=>2336.421875, :rest=>0.167314129767928, :count=>76, :score=>-195.628415300546, :rail=>0.173396180167159, :hidden=>49, :weight=>0.27854111671479}
{:time=>1351.765625, :rest=>0.146711576026132, :count=>35, :score=>-174.644808743169, :rail=>0.41217718992231, :hidden=>59, :weight=>0.321200540472133}
{:time=>4110.015625, :rest=>0.769436950912175, :count=>49, :score=>-96.8306010928962, :rail=>0.726273984100424, :hidden=>98, :weight=>0.275212079624798}
{:time=>792.453125, :rest=>0.1, :count=>16, :score=>161.092896174863, :rail=>0.1, :hidden=>74, :weight=>0.1}
{:time=>252.640625, :rest=>0.1, :count=>6, :score=>164.371584699454, :rail=>0.1, :hidden=>61, :weight=>0.1}
{:time=>565.390625, :rest=>0.1, :count=>12, :score=>156.502732240437, :rail=>0.1, :hidden=>69, :weight=>0.1}
{:time=>3024.875, :rest=>0.140270538544692, :count=>51, :score=>99.672131147541, :rail=>0.555812483183012, :hidden=>91, :weight=>0.038547776537033}
